x,USD Growth,JPY Growth
28/04/16,-0.40%,0.40%
27/04/16,-0.50%,2.40%
26/04/16,-0.10%,-0.30%
25/04/16,-0.20%,-0.40%
22/04/16,0.00%,-0.10%
21/04/16,0.80%,-0.30%
20/04/16,0.20%,-0.20%
19/04/16,-0.30%,-0.10%
18/04/16,-0.30%,-1.40%
15/04/16,-0.20%,0.50%
14/04/16,-0.30%,0.10%
13/04/16,0.40%,0.30%
12/04/16,0.90%,0.00%
11/04/16,-0.10%,-0.10%
08/04/16,-0.20%,0.10%
07/04/16,0.00%,-0.20%
06/04/16,-0.20%,1.60%
05/04/16,0.30%,0.50%
04/04/16,0.10%,0.90%
01/04/16,0.50%,0.90%
31/03/16,-0.40%,-0.10%
30/03/16,-0.50%,-0.40%
29/03/16,-1.10%,-0.20%
24/03/16,-0.40%,-1.40%
23/03/16,0.20%,0.50%
22/03/16,0.40%,-0.70%
21/03/16,0.50%,0.60%
18/03/16,0.10%,-0.10%
17/03/16,0.30%,0.40%
16/03/16,-2.20%,-0.50%
15/03/16,0.40%,-0.30%
14/03/16,0.10%,0.80%
11/03/16,-0.30%,-0.20%
10/03/16,-2.10%,-1.80%
09/03/16,1.10%,-0.20%
08/03/16,0.50%,0.80%
07/03/16,-0.70%,-0.10%
04/03/16,0.20%,0.30%
03/03/16,-0.60%,-0.40%
02/03/16,-0.40%,-0.10%
01/03/16,0.10%,-0.90%
29/02/16,0.10%,0.20%
26/02/16,1.10%,1.00%
25/02/16,0.20%,-0.30%
24/02/16,-0.40%,-0.90%
23/02/16,0.20%,0.20%
22/02/16,0.20%,1.40%
19/02/16,0.60%,0.40%
18/02/16,-0.10%,0.60%
17/02/16,0.50%,0.70%
16/02/16,0.30%,-0.10%
15/02/16,0.10%,0.50%
12/02/16,0.80%,-0.40%
11/02/16,0.60%,0.20%
10/02/16,-0.80%,1.70%
09/02/16,-0.20%,-0.30%
08/02/16,-1.20%,0.00%
05/02/16,0.90%,1.20%
04/02/16,0.00%,0.60%
03/02/16,-2.40%,-0.70%
02/02/16,-0.10%,1.00%
01/02/16,-0.30%,0.10%
29/01/16,0.30%,0.20%
28/01/16,-0.20%,-2.00%
27/01/16,-0.10%,-0.50%
26/01/16,-0.50%,-0.50%
25/01/16,-0.20%,-0.10%
22/01/16,-0.10%,-0.20%
21/01/16,0.80%,-0.30%
20/01/16,0.10%,-0.10%
19/01/16,-0.40%,0.70%
18/01/16,0.20%,-0.30%
15/01/16,0.20%,0.00%
14/01/16,-0.20%,0.40%
13/01/16,-0.70%,-0.40%
12/01/16,0.20%,0.00%
11/01/16,0.50%,0.40%
08/01/16,-0.20%,0.10%
07/01/16,0.10%,-0.60%
06/01/16,-1.20%,-0.40%
05/01/16,0.00%,0.50%
04/01/16,1.40%,1.50%
31/12/15,-0.10%,1.00%
30/12/15,0.40%,0.50%
29/12/15,0.20%,0.20%
28/12/15,0.10%,0.10%
24/12/15,-0.10%,-0.20%
23/12/15,-0.30%,0.10%
22/12/15,0.30%,0.40%
21/12/15,-0.70%,-0.40%
18/12/15,-0.30%,-0.30%
17/12/15,0.00%,0.90%
16/12/15,0.80%,0.30%
15/12/15,0.50%,-0.20%
14/12/15,-0.10%,-0.30%
11/12/15,-0.30%,0.40%
10/12/15,-0.10%,0.00%
09/12/15,0.00%,0.80%
08/12/15,-0.60%,-0.30%
07/12/15,-0.60%,-0.20%
04/12/15,0.90%,0.50%
03/12/15,-2.10%,-1.90%
02/12/15,-0.60%,-0.70%
01/12/15,-0.10%,-0.10%
30/11/15,-0.20%,-0.30%
27/11/15,0.00%,-0.40%
26/11/15,0.30%,0.20%
25/11/15,-0.20%,-0.10%
24/11/15,0.60%,0.40%
23/11/15,-0.20%,0.30%
20/11/15,0.50%,0.30%
19/11/15,0.00%,0.20%
18/11/15,-0.20%,0.00%
17/11/15,0.00%,-0.10%
16/11/15,0.50%,0.40%
13/11/15,0.40%,0.00%
12/11/15,-0.40%,-0.10%
11/11/15,-0.10%,0.00%
10/11/15,0.00%,0.10%
09/11/15,0.60%,0.80%
06/11/15,0.80%,-0.50%
05/11/15,0.20%,0.20%
04/11/15,0.50%,-0.20%
03/11/15,0.40%,0.20%
02/11/15,0.50%,0.30%
30/10/15,-0.10%,-0.10%
29/10/15,-0.80%,-0.40%
28/10/15,1.40%,0.80%
27/10/15,-0.20%,-0.20%
26/10/15,-0.50%,0.20%
23/10/15,0.70%,0.40%
22/10/15,2.10%,1.30%
21/10/15,0.40%,0.60%
20/10/15,0.20%,-0.10%
19/10/15,-0.40%,-0.60%
16/10/15,0.20%,0.00%
15/10/15,0.70%,0.00%
14/10/15,-0.30%,0.90%
13/10/15,-0.30%,-0.20%
12/10/15,0.00%,0.30%
09/10/15,-0.10%,0.00%
08/10/15,-1.00%,-1.30%
07/10/15,0.10%,0.30%
06/10/15,-0.40%,-0.20%
05/10/15,0.10%,0.00%
02/10/15,-0.70%,-0.60%
01/10/15,-0.10%,-0.50%
30/09/15,0.40%,0.80%
29/09/15,0.00%,-0.20%
28/09/15,-0.30%,-0.20%
25/09/15,-0.20%,0.60%
24/09/15,0.80%,-0.30%
23/09/15,-0.80%,-0.30%
22/09/15,0.00%,-0.20%
21/09/15,0.90%,1.30%
18/09/15,1.50%,0.60%
17/09/15,-0.90%,0.30%
16/09/15,-0.70%,-1.00%
15/09/15,0.80%,0.00%
14/09/15,-0.10%,0.40%
11/09/15,-0.30%,0.00%
10/09/15,-0.70%,-0.50%
09/09/15,-0.40%,-0.50%
08/09/15,0.20%,-0.60%
07/09/15,-0.10%,-0.50%
04/09/15,-0.10%,-0.20%
03/09/15,0.80%,1.60%
02/09/15,0.20%,0.20%
01/09/15,-0.20%,-0.30%
31/08/15,-0.20%,0.90%
28/08/15,0.50%,0.10%
27/08/15,0.10%,-0.40%
26/08/15,1.00%,0.60%
25/08/15,0.90%,1.00%
24/08/15,-0.10%,0.00%
21/08/15,-1.90%,0.40%
20/08/15,-0.90%,0.10%
19/08/15,-1.30%,-0.90%
18/08/15,0.20%,0.10%
17/08/15,0.40%,0.60%
14/08/15,0.60%,0.30%
13/08/15,-0.60%,-0.30%
12/08/15,0.40%,0.20%
11/08/15,-0.90%,-0.30%
10/08/15,-0.90%,-1.00%
07/08/15,-0.20%,-0.20%
06/08/15,-0.50%,-0.40%
05/08/15,0.00%,-0.50%
04/08/15,0.80%,0.60%
03/08/15,-0.20%,0.00%
31/07/15,0.10%,0.20%
30/07/15,-0.10%,-0.10%
29/07/15,0.70%,0.20%
28/07/15,0.00%,0.00%
27/07/15,0.30%,-0.20%
24/07/15,-1.10%,-0.40%
23/07/15,0.50%,0.30%
22/07/15,-0.90%,-0.90%
21/07/15,-0.30%,0.10%
20/07/15,-0.10%,-0.30%
17/07/15,0.30%,0.10%
16/07/15,-0.20%,-0.10%
15/07/15,1.30%,0.80%
14/07/15,0.20%,0.10%
13/07/15,0.20%,0.20%
10/07/15,1.20%,0.40%
09/07/15,-1.20%,-1.90%
08/07/15,-0.30%,-0.30%
07/07/15,-0.80%,0.00%
06/07/15,0.70%,0.90%
03/07/15,0.80%,0.90%
02/07/15,-0.30%,0.30%
01/07/15,0.30%,-0.10%
30/06/15,0.80%,0.30%
29/06/15,-0.50%,-0.10%
26/06/15,0.60%,1.30%
25/06/15,0.00%,0.00%
24/06/15,0.10%,0.30%
23/06/15,-0.10%,-0.20%
22/06/15,1.30%,0.80%
